codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,codigo_centro_poblado,nombre_centro_poblado,tipo
76,VALLE DEL CAUCA,76001,CALI,76001000,SANTIAGO DE CALI,CM
76,VALLE DEL CAUCA,76001,CALI,76001000,CALI,CM
76,VALLE DEL CAUCA,76001,CALI,76001001,EL SALADITO,CP
76,VALLE DEL CAUCA,76001,CALI,76001002,FELIDIA,CP
76,VALLE DEL CAUCA,76001,CALI,76001003,GOLONDRINAS,CP
76,VALLE DEL CAUCA,76001,CALI,76001004,EL HORMIGUERO,CP
76,VALLE DEL CAUCA,76001,CALI,76001005,LA BUITRERA,CP
76,VALLE DEL CAUCA,76001,CALI,76001006,LA CASTILLA,CP
76,VALLE DEL CAUCA,76001,CALI,76001007,LA ELVIRA,CP
76,VALLE DEL CAUCA,76001,CALI,76001008,LA LEONERA,CP
76,VALLE DEL CAUCA,76001,CALI,76001009,LA PAZ,CP
76,VALLE DEL CAUCA,76001,CALI,76001010,LOS ANDES,CP
76,VALLE DEL CAUCA,76001,CALI,76001012,NAVARRO,CP
76,VALLE DEL CAUCA,76001,CALI,76001013,PANCE,CP
76,VALLE DEL CAUCA,76001,CALI,76001014,PICHINDE,CP
76,VALLE DEL CAUCA,76001,CALI,76001016,MONTEBELLO,CP
76,VALLE DEL CAUCA,76001,CALI,76001019,CASCAJAL II,CP
76,VALLE DEL CAUCA,76001,CALI,76001020,VILLACARMELO,CP
76,VALLE DEL CAUCA,76001,CALI,76001022,BRISAS DE MONTEBELLO,CP
76,VALLE DEL CAUCA,76001,CALI,76001023,CAMPO ALEGRE,CP
76,VALLE DEL CAUCA,76001,CALI,76001024,CASCAJAL I,CP
76,VALLE DEL CAUCA,76001,CALI,76001025,CRUCERO ALTO DE LOS MANGOS,CP
76,VALLE DEL CAUCA,76001,CALI,76001026,EL FILO,CP
76,VALLE DEL CAUCA,76001,CALI,76001027,EL PORTENTO,CP
76,VALLE DEL CAUCA,76001,CALI,76001028,LA FRAGUA,CP
76,VALLE DEL CAUCA,76001,CALI,76001029,LA VORÁGINE,CP
76,VALLE DEL CAUCA,76001,CALI,76001030,LAS PALMAS,CP
76,VALLE DEL CAUCA,76001,CALI,76001031,LOS CERROS,CP
76,VALLE DEL CAUCA,76001,CALI,76001032,MONTAÑITAS,CP
76,VALLE DEL CAUCA,76001,CALI,76001034,PIZAMOS,CP
76,VALLE DEL CAUCA,76001,CALI,76001035,PUEBLO NUEVO,CP
76,VALLE DEL CAUCA,76001,CALI,76001036,SAN FRANCISCO,CP
76,VALLE DEL CAUCA,76001,CALI,76001037,SAN ISIDRO,CP
76,VALLE DEL CAUCA,76001,CALI,76001038,VILLA FLAMENCO,CP
76,VALLE DEL CAUCA,76001,CALI,76001041,CASCAJAL III,CP
76,VALLE DEL CAUCA,76001,CALI,76001042,EL ESTERO,CP
76,VALLE DEL CAUCA,76001,CALI,76001043,LA LUISA,CP
76,VALLE DEL CAUCA,76001,CALI,76001044,LA SIRENA,CP
76,VALLE DEL CAUCA,76001,CALI,76001045,LAS PALMAS - LA CASTILLA,CP
76,VALLE DEL CAUCA,76001,CALI,76001046,SILOE,CP
76,VALLE DEL CAUCA,76001,CALI,76001048,LOS LIMONES,CP
76,VALLE DEL CAUCA,76001,CALI,76001050,CAUCA VIEJO,CP
76,VALLE DEL CAUCA,76001,CALI,76001051,CONDOMINIO MARAÑON,CP
76,VALLE DEL CAUCA,76001,CALI,76001052,CHORRO DE PLATA,CP
76,VALLE DEL CAUCA,76001,CALI,76001053,PARCELACION CANTACLARO 1,CP
76,VALLE DEL CAUCA,76001,CALI,76001054,PARCELACION CANTACLARO 2,CP
76,VALLE DEL CAUCA,76001,CALI,76001055,PARCELACION LA TRINIDAD,CP
76,VALLE DEL CAUCA,76001,CALI,76001056,PIAMONTE,CP
76,VALLE DEL CAUCA,76001,CALI,76001057,CALLEJON TABARES,CP
76,VALLE DEL CAUCA,76001,CALI,76001058,DUQUELANDIA,CP
76,VALLE DEL CAUCA,76001,CALI,76001059,LA COLINA,CP
76,VALLE DEL CAUCA,76001,CALI,76001060,LOS GIRASOLES,CP
76,VALLE DEL CAUCA,76001,CALI,76001061,PILAS DEL CABUYAL,CP
76,VALLE DEL CAUCA,76001,CALI,76001062,VILLA DEL ROSARIO,CP
76,VALLE DEL CAUCA,76020,ALCALÁ,76020000,ALCALÁ,CM
76,VALLE DEL CAUCA,76020,ALCALÁ,76020006,LA FLORESTA,CP
76,VALLE DEL CAUCA,76020,ALCALÁ,76020007,LA POLONIA,CP
76,VALLE DEL CAUCA,76036,ANDALUCÍA,76036000,ANDALUCÍA,CM
76,VALLE DEL CAUCA,76036,ANDALUCÍA,76036002,CAMPOALEGRE,CP
76,VALLE DEL CAUCA,76036,ANDALUCÍA,76036003,EL SALTO,CP
76,VALLE DEL CAUCA,76036,ANDALUCÍA,76036006,TAMBORAL,CP
76,VALLE DEL CAUCA,76036,ANDALUCÍA,76036007,ZANJÓN DE PIEDRA,CP
76,VALLE DEL CAUCA,76036,ANDALUCÍA,76036009,MONTE HERMOSO,CP
76,VALLE DEL CAUCA,76036,ANDALUCÍA,76036010,MADRE VIEJA,CP
76,VALLE DEL CAUCA,76036,ANDALUCÍA,76036011,LA PAZ,CP
76,VALLE DEL CAUCA,76041,ANSERMANUEVO,76041000,ANSERMANUEVO,CM
76,VALLE DEL CAUCA,76041,ANSERMANUEVO,76041001,ANACARO,CP
76,VALLE DEL CAUCA,76041,ANSERMANUEVO,76041003,EL BILLAR,CP
76,VALLE DEL CAUCA,76041,ANSERMANUEVO,76041006,EL VERGEL,CP
76,VALLE DEL CAUCA,76041,ANSERMANUEVO,76041013,GRAMALOTE,CP
76,VALLE DEL CAUCA,76041,ANSERMANUEVO,76041021,SALAZAR,CP
76,VALLE DEL CAUCA,76054,ARGELIA,76054000,ARGELIA,CM
76,VALLE DEL CAUCA,76054,ARGELIA,76054004,EL RAIZAL,CP
76,VALLE DEL CAUCA,76054,ARGELIA,76054005,LA AURORA,CP
76,VALLE DEL CAUCA,76100,BOLÍVAR,76100000,BOLÍVAR,CM
76,VALLE DEL CAUCA,76100,BOLÍVAR,76100001,BETANIA,CP
76,VALLE DEL CAUCA,76100,BOLÍVAR,76100002,CERRO AZUL,CP
76,VALLE DEL CAUCA,76100,BOLÍVAR,76100006,LA HERRADURA,CP
76,VALLE DEL CAUCA,76100,BOLÍVAR,76100007,LA TULIA,CP
76,VALLE DEL CAUCA,76100,BOLÍVAR,76100008,NARANJAL,CP
76,VALLE DEL CAUCA,76100,BOLÍVAR,76100009,PRIMAVERA,CP
76,VALLE DEL CAUCA,76100,BOLÍVAR,76100010,RICAURTE,CP
76,VALLE DEL CAUCA,76100,BOLÍVAR,76100012,AGUAS LINDAS,CP
76,VALLE DEL CAUCA,76100,BOLÍVAR,76100014,SAN FERNANDO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109000,BUENAVENTURA,CM
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109001,AGUACLARA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109002,BARCO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109003,LA BOCANA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109006,BAJO CALIMA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109009,CÓRDOBA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109012,PITAL,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109017,TRIANA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109018,CONCEPCIÓN,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109019,LA PLATA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109021,LADRILLEROS,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109022,LLANO BAJO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109024,BOCAS DE MAYORQUIN,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,PUERTO MERIZALDE,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109030,PUNTA SOLDADO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109031,SAN ANTONIO (YURUMANGUÍ),CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,SAN FRANCISCO DE NAYA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109033,SAN FRANCISCO JAVIER,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109034,SAN ISIDRO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109036,SAN LORENZO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109037,SAN PEDRO - BUENAVENTURA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109038,SILVA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109039,TAPARAL,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109040,VENERAL,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109041,SAN JOSÉ,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109042,SABALETAS,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109043,ZACARÍAS,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109044,CABECERA RÍO SAN JUAN,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109045,LA BARRA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109046,JUANCHACO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109047,PIANGUITA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109053,CHAMUSCADO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109058,EL BARRANCO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109061,GUAIMIA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109062,JUNTAS,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109064,BARTOLA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109065,LA BREA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109069,PAPAYAL,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109071,SAN CIPRIANO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109074,SAN JOSÉ DE NAYA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109076,SAN MARCOS,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109077,SANTA CRUZ,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109078,ZARAGOZA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109079,AGUAMANSA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109080,CASCAJITA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109081,PUNTA BONITA,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109082,HORIZONTE,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109083,BENDICIONES,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109084,EL CACAO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109085,CALLE LARGA - AEROPUERTO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109086,CAMINO VIEJO - KM 40,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109087,CAMPO HERMOSO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109088,EL CRUCERO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109089,EL ENCANTO,CP
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109090,EL LLANO,CP
