codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,codigo_centro_poblado,nombre_centro_poblado,tipo
81,ARAUCA,81001,ARAUCA,81001000,ARAUCA,CM
81,ARAUCA,81001,ARAUCA,81001001,CLARINETERO,CP
81,ARAUCA,81001,ARAUCA,81001017,EL CARACOL,CP
81,ARAUCA,81001,ARAUCA,81001020,MONSERRATE,CP
81,ARAUCA,81001,ARAUCA,81001021,LAS NUBES,CP
81,ARAUCA,81001,ARAUCA,81001022,MANHATAN,CP
81,ARAUCA,81065,ARAUQUITA,81065000,ARAUQUITA,CM
81,ARAUCA,81065,ARAUQUITA,81065001,CARRETERO,CP
81,ARAUCA,81065,ARAUQUITA,81065002,EL TRONCAL,CP
81,ARAUCA,81065,ARAUQUITA,81065004,SAN LORENZO,CP
81,ARAUCA,81065,ARAUQUITA,81065005,LA PAZ,CP
81,ARAUCA,81065,ARAUQUITA,81065007,LA REINERA (GAVIOTA),CP
81,ARAUCA,81065,ARAUQUITA,81065008,LA ESMERALDA (JUJUA),CP
81,ARAUCA,81065,ARAUQUITA,81065009,AGUACHICA,CP
81,ARAUCA,81065,ARAUQUITA,81065010,EL CAUCHO,CP
81,ARAUCA,81065,ARAUQUITA,81065016,LOS CHORROS,CP
81,ARAUCA,81065,ARAUQUITA,81065017,PANAMÁ DE ARAUCA,CP
81,ARAUCA,81065,ARAUQUITA,81065019,BRISAS DEL CARANAL,CP
81,ARAUCA,81065,ARAUQUITA,81065020,EL OASIS,CP
81,ARAUCA,81065,ARAUQUITA,81065021,EL TRIUNFO,CP
81,ARAUCA,81065,ARAUQUITA,81065022,LA PESQUERA,CP
81,ARAUCA,81065,ARAUQUITA,81065023,EL CAMPAMENTO,CP
81,ARAUCA,81065,ARAUQUITA,81065025,ARENOSA,CP
81,ARAUCA,81065,ARAUQUITA,81065026,BOCAS DEL ELE,CP
81,ARAUCA,81065,ARAUQUITA,81065027,CAÑO HONDO,CP
81,ARAUCA,81065,ARAUQUITA,81065028,EL CAMPING,CP
81,ARAUCA,81065,ARAUQUITA,81065029,FILIPINAS,CP
81,ARAUCA,81065,ARAUQUITA,81065030,JARDINES,CP
81,ARAUCA,81065,ARAUQUITA,81065031,LOS COLONOS,CP
81,ARAUCA,81065,ARAUQUITA,81065032,MATECAÑA,CP
81,ARAUCA,81065,ARAUQUITA,81065033,PUEBLO NUEVO,CP
81,ARAUCA,81065,ARAUQUITA,81065034,SITIO NUEVO,CP
81,ARAUCA,81220,CRAVO NORTE,81220000,CRAVO NORTE,CM
81,ARAUCA,81300,FORTUL,81300000,FORTUL,CM
81,ARAUCA,81300,FORTUL,81300002,CARANAL,CP
81,ARAUCA,81300,FORTUL,81300003,LA VEINTE,CP
81,ARAUCA,81300,FORTUL,81300006,EL MORDISCO,CP
81,ARAUCA,81300,FORTUL,81300007,PALMARITO,CP
81,ARAUCA,81300,FORTUL,81300009,SITIO NUEVO,CP
81,ARAUCA,81300,FORTUL,81300011,TOLUA,CP
81,ARAUCA,81591,PUERTO RONDÓN,81591000,PUERTO RONDÓN,CM
81,ARAUCA,81591,PUERTO RONDÓN,81591006,SAN IGNACIO,CP
81,ARAUCA,81736,SARAVENA,81736000,SARAVENA,CM
81,ARAUCA,81736,SARAVENA,81736002,LA YE DEL CHARO,CP
81,ARAUCA,81736,SARAVENA,81736006,PUERTO LLERAS,CP
81,ARAUCA,81736,SARAVENA,81736007,AGUA SANTA,CP
81,ARAUCA,81736,SARAVENA,81736008,PUERTO NARIÑO,CP
81,ARAUCA,81736,SARAVENA,81736009,BARRANCONES,CP
81,ARAUCA,81736,SARAVENA,81736010,BARRIO LOCO,CP
81,ARAUCA,81736,SARAVENA,81736011,CAÑO SECO,CP
81,ARAUCA,81736,SARAVENA,81736012,LA PAJUILA,CP
81,ARAUCA,81736,SARAVENA,81736013,LA YE DEL GARROTAZO,CP
81,ARAUCA,81736,SARAVENA,81736014,PUERTO CONTRERAS,CP
81,ARAUCA,81736,SARAVENA,81736017,REMOLINO,CP
81,ARAUCA,81794,TAME,81794000,TAME,CM
81,ARAUCA,81794,TAME,81794001,BETOYES,CP
81,ARAUCA,81794,TAME,81794004,COROCITO,CP
81,ARAUCA,81794,TAME,81794006,PUERTO GAITÁN,CP
81,ARAUCA,81794,TAME,81794009,PUERTO SAN SALVADOR,CP
81,ARAUCA,81794,TAME,81794014,LA HOLANDA,CP
81,ARAUCA,81794,TAME,81794015,PUENTE TABLA,CP
81,ARAUCA,81794,TAME,81794019,BOTALÓN,CP
81,ARAUCA,81794,TAME,81794020,PUERTO MIRANDA,CP
81,ARAUCA,81794,TAME,81794021,ALTO CAUCA,CP
81,ARAUCA,81794,TAME,81794022,FLOR AMARILLO,CP
81,ARAUCA,81794,TAME,81794024,LAS MALVINAS,CP
81,ARAUCA,81794,TAME,81794026,PUEBLO SECO,CP
81,ARAUCA,81794,TAME,81794027,SANTO DOMINGO,CP
81,ARAUCA,81794,TAME,81794028,PUEBLO SUCIO,CP
