codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,codigo_centro_poblado,nombre_centro_poblado,tipo
18,CAQUETÁ,18001,FLORENCIA,18001000,FLORENCIA,CM
18,CAQUETÁ,18001,FLORENCIA,18001004,SAN ANTONIO DE ATENAS,CP
18,CAQUETÁ,18001,FLORENCIA,18001005,SANTANA LAS HERMOSAS,CP
18,CAQUETÁ,18001,FLORENCIA,18001006,LA ESPERANZA,CP
18,CAQUETÁ,18001,FLORENCIA,18001007,NORCACIA,CP
18,CAQUETÁ,18001,FLORENCIA,18001008,VENECIA,CP
18,CAQUETÁ,18001,FLORENCIA,18001009,EL PARA,CP
18,CAQUETÁ,18001,FLORENCIA,18001011,CARAÑO,CP
18,CAQUETÁ,18001,FLORENCIA,18001018,CAPITOLIO,CP
18,CAQUETÁ,18001,FLORENCIA,18001024,PUERTO ARANGO,CP
18,CAQUETÁ,18001,FLORENCIA,18001025,SEBASTOPOL,CP
18,CAQUETÁ,18029,ALBANIA,18029000,ALBANIA,CM
18,CAQUETÁ,18029,ALBANIA,18029003,DORADO,CP
18,CAQUETÁ,18029,ALBANIA,18029004,VERSALLES,CP
18,CAQUETÁ,18029,ALBANIA,18029005,EL PARAÍSO,CP
18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,18094000,BELÉN DE LOS ANDAQUÍES,CM
18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,18094001,EL PORTAL LA MONO,CP
18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,18094003,PUERTO TORRES,CP
18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,18094005,PUEBLO NUEVO LOS ÁNGELES,CP
18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,18094008,ALETONES,CP
18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,18094009,SAN ANTONIO DE PADUA,CP
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150000,CARTAGENA DEL CHAIRÁ,CM
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150001,REMOLINO DEL CAGUÁN,CP
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150002,SANTA FE DEL CAGUÁN,CP
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150003,MONSERRATE,CP
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150004,PEÑAS COLORADAS,CP
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150005,EL GUAMO,CP
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150006,PUERTO CAMELIA,CP
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150007,SANTO DOMINGO,CP
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150008,LOS CRISTALES,CP
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150009,RISARALDA,CP
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150011,CUMARALES,CP
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150012,EL CAFÉ,CP
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150013,NÁPOLES (PUERTO NÁPOLES),CP
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150014,PEÑAS BLANCAS,CP
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150015,LAS ÁNIMAS,CP
18,CAQUETÁ,18205,CURILLO,18205000,CURILLO,CM
18,CAQUETÁ,18205,CURILLO,18205001,SALAMINA,CP
18,CAQUETÁ,18205,CURILLO,18205002,NOVIA PUERTO VALDIVIA,CP
18,CAQUETÁ,18205,CURILLO,18205003,PALIZADAS,CP
18,CAQUETÁ,18247,EL DONCELLO,18247000,EL DONCELLO,CM
18,CAQUETÁ,18247,EL DONCELLO,18247001,MAGUARE,CP
18,CAQUETÁ,18247,EL DONCELLO,18247002,PUERTO MANRIQUE,CP
18,CAQUETÁ,18247,EL DONCELLO,18247004,PUERTO HUNGRÍA,CP
18,CAQUETÁ,18247,EL DONCELLO,18247005,RIONEGRO,CP
18,CAQUETÁ,18256,EL PAUJÍL,18256000,EL PAUJÍL,CM
18,CAQUETÁ,18256,EL PAUJÍL,18256001,VERSALLES,CP
18,CAQUETÁ,18256,EL PAUJÍL,18256002,BOLIVIA,CP
18,CAQUETÁ,18410,LA MONTAÑITA,18410000,LA MONTAÑITA,CM
18,CAQUETÁ,18410,LA MONTAÑITA,18410001,SANTUARIO,CP
18,CAQUETÁ,18410,LA MONTAÑITA,18410002,LA UNIÓN PENEYA,CP
18,CAQUETÁ,18410,LA MONTAÑITA,18410005,EL TRIUNFO,CP
18,CAQUETÁ,18410,LA MONTAÑITA,18410006,MATEGUADUA,CP
18,CAQUETÁ,18410,LA MONTAÑITA,18410007,SAN ISIDRO,CP
18,CAQUETÁ,18410,LA MONTAÑITA,18410008,MIRAMAR,CP
18,CAQUETÁ,18410,LA MONTAÑITA,18410009,PUERTO BRASILIA,CP
18,CAQUETÁ,18410,LA MONTAÑITA,18410010,PUERTO GAITÁN,CP
18,CAQUETÁ,18410,LA MONTAÑITA,18410012,REINA BAJA,CP
18,CAQUETÁ,18410,LA MONTAÑITA,18410013,PALMERAS,CP
18,CAQUETÁ,18410,LA MONTAÑITA,18410014,EL BERLIN,CP
18,CAQUETÁ,18460,MILÁN,18460000,MILÁN,CM
18,CAQUETÁ,18460,MILÁN,18460001,SAN ANTONIO DE GETUCHA,CP
18,CAQUETÁ,18460,MILÁN,18460003,MATICURU - GRANARIO,CP
18,CAQUETÁ,18460,MILÁN,18460004,LA RASTRA,CP
18,CAQUETÁ,18460,MILÁN,18460005,REMOLINOS DE ARICUNTÍ,CP
18,CAQUETÁ,18460,MILÁN,18460008,AGUA BLANCA,CP
18,CAQUETÁ,18460,MILÁN,18460010,AGUA NEGRA,CP
18,CAQUETÁ,18479,MORELIA,18479000,MORELIA,CM
18,CAQUETÁ,18592,PUERTO RICO,18592000,PUERTO RICO,CM
18,CAQUETÁ,18592,PUERTO RICO,18592003,LUSITANIA,CP
18,CAQUETÁ,18592,PUERTO RICO,18592004,SANTANA RAMOS,CP
18,CAQUETÁ,18592,PUERTO RICO,18592005,LA ESMERALDA,CP
18,CAQUETÁ,18592,PUERTO RICO,18592006,LA AGUILILLA,CP
18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,18610000,SAN JOSÉ DEL FRAGUA,CM
18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,18610001,FRAGUITA,CP
18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,18610002,YURAYACO,CP
18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,18610003,SABALETA,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753000,SAN VICENTE DEL CAGUÁN,CM
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753003,BALSILLAS,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753004,CAMPO HERMOSO,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753007,TRES ESQUINAS,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753009,PUERTO BETANIA,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753010,GIBRALTAR,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753011,LOS POZOS,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753012,SANTA ROSA,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753013,TRONCALES,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753015,GUAYABAL,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753023,LA TUNIA,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753029,LA CAMPANA,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753031,LOS ANDES,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753032,PUERTO AMOR,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753033,VILLA LOBOS,CP
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753034,VILLA CARMONA,CP
18,CAQUETÁ,18756,SOLANO,18756000,SOLANO,CM
18,CAQUETÁ,18756,SOLANO,18756001,ARARACUARA,CP
18,CAQUETÁ,18756,SOLANO,18756004,EL DANUBIO - CAMPO ALEGRE,CP
18,CAQUETÁ,18756,SOLANO,18756005,PEÑAS BLANCAS,CP
18,CAQUETÁ,18756,SOLANO,18756006,CUEMANI,CP
18,CAQUETÁ,18756,SOLANO,18756007,MONONGUETE,CP
18,CAQUETÁ,18756,SOLANO,18756008,PUERTO TEJADA,CP
18,CAQUETÁ,18756,SOLANO,18756011,PUERTO LAS MERCEDES,CP
18,CAQUETÁ,18785,SOLITA,18785000,SOLITA,CM
18,CAQUETÁ,18785,SOLITA,18785001,KILÓMETRO 28 (LA ARGELIA),CP
18,CAQUETÁ,18785,SOLITA,18785002,KILÓMETRO 30 (CAMPO LEJANO),CP
18,CAQUETÁ,18785,SOLITA,18785005,UNIÓN SINCELEJO,CP
18,CAQUETÁ,18860,VALPARAÍSO,18860000,VALPARAÍSO,CM
18,CAQUETÁ,18860,VALPARAÍSO,18860001,SANTIAGO DE LA SELVA,CP
18,CAQUETÁ,18860,VALPARAÍSO,18860002,KILÓMETRO 18,CP
18,CAQUETÁ,18860,VALPARAÍSO,18860005,PLAYA RICA,CP
