codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,codigo_centro_poblado,nombre_centro_poblado,tipo
08,ATLÁNTICO,08001,BARRANQUILLA,08001000,BARRANQUILLA,CM
08,ATLÁNTICO,08001,BARRANQUILLA,08001000,JUAN MINA,CM
08,ATLÁNTICO,08078,BARANOA,08078000,BARANOA,CM
08,ATLÁNTICO,08078,BARANOA,08078001,CAMPECHE,CP
08,ATLÁNTICO,08078,BARANOA,08078002,PITAL,CP
08,ATLÁNTICO,08078,BARANOA,08078003,SIBARCO,CP
08,ATLÁNTICO,08137,CAMPO DE LA CRUZ,08137000,CAMPO DE LA CRUZ,CM
08,ATLÁNTICO,08137,CAMPO DE LA CRUZ,08137001,BOHÓRQUEZ,CP
08,ATLÁNTICO,08141,CANDELARIA,08141000,CANDELARIA,CM
08,ATLÁNTICO,08141,CANDELARIA,08141001,SAN JOSÉ DEL CARRETAL,CP
08,ATLÁNTICO,08141,CANDELARIA,08141002,BUENAVENTURA DE LEÑA,CP
08,ATLÁNTICO,08296,GALAPA,08296000,GALAPA,CM
08,ATLÁNTICO,08296,GALAPA,08296001,PALUATO,CP
08,ATLÁNTICO,08372,JUAN DE ACOSTA,08372000,JUAN DE ACOSTA,CM
08,ATLÁNTICO,08372,JUAN DE ACOSTA,08372001,BOCATOCINO,CP
08,ATLÁNTICO,08372,JUAN DE ACOSTA,08372002,CHORRERA,CP
08,ATLÁNTICO,08372,JUAN DE ACOSTA,08372003,SAN JOSÉ DE SACO,CP
08,ATLÁNTICO,08372,JUAN DE ACOSTA,08372004,SANTA VERÓNICA,CP
08,ATLÁNTICO,08372,JUAN DE ACOSTA,08372007,URBANIZACIÓN PUNTA CANGREJO,CP
08,ATLÁNTICO,08421,LURUACO,08421000,LURUACO,CM
08,ATLÁNTICO,08421,LURUACO,08421001,ARROYO DE PIEDRA,CP
08,ATLÁNTICO,08421,LURUACO,08421002,PALMAR DE CANDELARIA,CP
08,ATLÁNTICO,08421,LURUACO,08421003,LOS PENDALES,CP
08,ATLÁNTICO,08421,LURUACO,08421004,SAN JUAN DE TOCAGUA,CP
08,ATLÁNTICO,08421,LURUACO,08421005,SANTA CRUZ,CP
