codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,codigo_centro_poblado,nombre_centro_poblado,tipo
25,CUNDINAMARCA,25001,AGUA DE DIOS,25001000,AGUA DE DIOS,CM
11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",11001000,"BOGOTÁ",CM
25,CUNDINAMARCA,25019,ALBÁN,25019000,ALBÁN,CM
25,CUNDINAMARCA,25019,ALBÁN,25019001,CHIMBE (DANUBIO),CP
25,CUNDINAMARCA,25019,ALBÁN,25019002,PANTANILLO,CP
25,CUNDINAMARCA,25019,ALBÁN,25019003,LA MARÍA,CP
25,CUNDINAMARCA,25035,ANAPOIMA,25035000,ANAPOIMA,CM
25,CUNDINAMARCA,25035,ANAPOIMA,25035001,LA PAZ,CP
25,CUNDINAMARCA,25035,ANAPOIMA,25035002,SAN ANTONIO DE ANAPOIMA,CP
25,CUNDINAMARCA,25035,ANAPOIMA,25035003,PATIO BONITO,CP
25,CUNDINAMARCA,25040,ANOLAIMA,25040000,ANOLAIMA,CM
25,CUNDINAMARCA,25040,ANOLAIMA,25040002,LA FLORIDA,CP
25,CUNDINAMARCA,25040,ANOLAIMA,25040003,REVENTONES,CP
25,CUNDINAMARCA,25040,ANOLAIMA,25040006,CORRALEJAS,CP
25,CUNDINAMARCA,25053,ARBELÁEZ,25053000,ARBELÁEZ,CM
25,CUNDINAMARCA,25053,ARBELÁEZ,25053003,TISINCE,CP
25,CUNDINAMARCA,25086,BELTRÁN,25086000,BELTRÁN,CM
25,CUNDINAMARCA,25086,BELTRÁN,25086001,PAQUILÓ,CP
25,CUNDINAMARCA,25086,BELTRÁN,25086002,LA POPA,CP
25,CUNDINAMARCA,25086,BELTRÁN,25086003,PUERTO GRAMALOTAL,CP
25,CUNDINAMARCA,25095,BITUIMA,25095000,BITUIMA,CM
25,CUNDINAMARCA,25095,BITUIMA,25095002,BOQUERÓN DE ILÓ,CP
25,CUNDINAMARCA,25095,BITUIMA,25095003,LA SIERRA,CP
25,CUNDINAMARCA,25099,BOJACÁ,25099000,BOJACÁ,CM
25,CUNDINAMARCA,25099,BOJACÁ,25099002,SANTA BÁRBARA,CP
