codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,codigo_centro_poblado,nombre_centro_poblado,tipo
70,SUCRE,70001,SINCELEJO,70001000,SINCELEJO,CM
70,SUCRE,70001,SINCELEJO,70001001,BUENAVISTA - SINCELEJO,CP
70,SUCRE,70001,SINCELEJO,70001002,CRUZ DEL BEQUE,CP
70,SUCRE,70001,SINCELEJO,70001003,CHOCHO,CP
70,SUCRE,70001,SINCELEJO,70001004,CERRITO DE LA PALMA,CP
70,SUCRE,70001,SINCELEJO,70001005,LA ARENA,CP
70,SUCRE,70001,SINCELEJO,70001006,LA CHIVERA,CP
70,SUCRE,70001,SINCELEJO,70001007,LA GALLERA,CP
70,SUCRE,70001,SINCELEJO,70001009,LAGUNA FLOR,CP
70,SUCRE,70001,SINCELEJO,70001011,LAS MAJAGUAS,CP
70,SUCRE,70001,SINCELEJO,70001013,SABANAS DEL POTRERO,CP
70,SUCRE,70001,SINCELEJO,70001014,SAN ANTONIO,CP
70,SUCRE,70001,SINCELEJO,70001015,SAN MARTÍN,CP
70,SUCRE,70001,SINCELEJO,70001016,SAN RAFAEL,CP
70,SUCRE,70001,SINCELEJO,70001017,BUENAVISTICA,CP
70,SUCRE,70001,SINCELEJO,70001020,POLICARPA,CP
70,SUCRE,70001,SINCELEJO,70001021,SAN JACINTO,CP
70,SUCRE,70001,SINCELEJO,70001022,SAN NICOLAS,CP
70,SUCRE,70001,SINCELEJO,70001023,VILLA ROSITA,CP
70,SUCRE,70001,SINCELEJO,70001027,CERRO DEL NARANJO,CP
70,SUCRE,70110,BUENAVISTA,70110000,BUENAVISTA,CM
70,SUCRE,70110,BUENAVISTA,70110004,LAS CHICHAS,CP
70,SUCRE,70110,BUENAVISTA,70110005,LOS ANONES,CP
70,SUCRE,70110,BUENAVISTA,70110006,PROVIDENCIA,CP
70,SUCRE,70110,BUENAVISTA,70110007,COSTA RICA,CP
70,SUCRE,70124,CAIMITO,70124000,CAIMITO,CM
70,SUCRE,70124,CAIMITO,70124001,EL MAMÓN,CP
70,SUCRE,70124,CAIMITO,70124002,SIETE PALMAS,CP
70,SUCRE,70124,CAIMITO,70124004,LOS CAYITOS,CP
70,SUCRE,70124,CAIMITO,70124006,LA SOLERA,CP
70,SUCRE,70124,CAIMITO,70124007,TOFEME,CP
70,SUCRE,70124,CAIMITO,70124008,CEDEÑO,CP
70,SUCRE,70124,CAIMITO,70124009,MOLINERO,CP
70,SUCRE,70124,CAIMITO,70124010,NUEVA ESTACIÓN,CP
70,SUCRE,70124,CAIMITO,70124011,LA MEJÍA,CP
70,SUCRE,70124,CAIMITO,70124012,LAS PAVITAS,CP
70,SUCRE,70124,CAIMITO,70124013,NUEVA ESTRELLA,CP
70,SUCRE,70124,CAIMITO,70124014,NUEVA FE,CP
70,SUCRE,70124,CAIMITO,70124015,POMPUMA,CP
70,SUCRE,70124,CAIMITO,70124016,AGUILAR,CP
70,SUCRE,70124,CAIMITO,70124017,LOS OSSAS,CP
70,SUCRE,70124,CAIMITO,70124018,PUEBLO BUHO,CP
70,SUCRE,70124,CAIMITO,70124019,PUEBLO NUEVO,CP
70,SUCRE,70124,CAIMITO,70124020,PUNTA ALFEREZ,CP
70,SUCRE,70124,CAIMITO,70124021,TANGA SOLA,CP
70,SUCRE,70204,COLOSÓ,70204000,RICAURTE (COLOSÓ),CM
70,SUCRE,70204,COLOSÓ,70204000,COLOSÓ,CM
70,SUCRE,70204,COLOSÓ,70204002,CHINULITO,CP
70,SUCRE,70204,COLOSÓ,70204005,BAJO DON JUAN,CP
70,SUCRE,70204,COLOSÓ,70204006,EL OJITO,CP
70,SUCRE,70204,COLOSÓ,70204008,CALLE LARGA,CP
70,SUCRE,70204,COLOSÓ,70204009,CORAZA,CP
70,SUCRE,70204,COLOSÓ,70204010,DESBARRANCADO,CP
70,SUCRE,70204,COLOSÓ,70204011,EL PARAISO,CP
70,SUCRE,70204,COLOSÓ,70204012,LA CEIBA,CP
70,SUCRE,70204,COLOSÓ,70204013,LA ESTACION,CP
70,SUCRE,70204,COLOSÓ,70204014,MARATHON,CP
70,SUCRE,70204,COLOSÓ,70204015,PUEBLO NUEVO,CP
70,SUCRE,70215,COROZAL,70215000,COROZAL,CM
70,SUCRE,70215,COROZAL,70215001,CANTAGALLO,CP
70,SUCRE,70215,COROZAL,70215004,CHAPINERO,CP
70,SUCRE,70215,COROZAL,70215005,DON ALONSO,CP
70,SUCRE,70215,COROZAL,70215006,EL MAMÓN,CP
70,SUCRE,70215,COROZAL,70215009,HATO NUEVO,CP
70,SUCRE,70215,COROZAL,70215010,LAS LLANADAS,CP
70,SUCRE,70215,COROZAL,70215011,LAS TINAS,CP
70,SUCRE,70215,COROZAL,70215014,SAN JOSE DE PILETA,CP
70,SUCRE,70215,COROZAL,70215016,EL RINCON DE LAS FLORES,CP
70,SUCRE,70215,COROZAL,70215018,LAS PEÑAS,CP
70,SUCRE,70215,COROZAL,70215019,CALLE NUEVA,CP
70,SUCRE,70215,COROZAL,70215021,LAS BRUJAS,CP
70,SUCRE,70215,COROZAL,70215022,VILLA NUEVA,CP
70,SUCRE,70215,COROZAL,70215023,MILAN,CP
70,SUCRE,70215,COROZAL,70215024,PALMA SOLA,CP
70,SUCRE,70215,COROZAL,70215025,LAS PALMAS,CP
70,SUCRE,70215,COROZAL,70215026,HATO VIEJO,CP
70,SUCRE,70221,COVEÑAS,70221000,COVEÑAS,CM
70,SUCRE,70221,COVEÑAS,70221001,BOCA DE LA CIÉNAGA,CP
70,SUCRE,70221,COVEÑAS,70221002,EL REPARO,CP
70,SUCRE,70221,COVEÑAS,70221004,PUNTA SECA,CP
70,SUCRE,70221,COVEÑAS,70221005,EL MAMEY,CP
70,SUCRE,70221,COVEÑAS,70221006,BELLAVISTA,CP
70,SUCRE,70230,CHALÁN,70230000,CHALÁN,CM
70,SUCRE,70230,CHALÁN,70230001,LA CEIBA,CP
70,SUCRE,70230,CHALÁN,70230003,NUEVO MANZANARES,CP
70,SUCRE,70230,CHALÁN,70230004,DESBARRANCADO,CP
70,SUCRE,70230,CHALÁN,70230006,MONTEBELLO,CP
70,SUCRE,70233,EL ROBLE,70233000,EL ROBLE,CM
70,SUCRE,70233,EL ROBLE,70233001,CALLEJÓN,CP
70,SUCRE,70233,EL ROBLE,70233002,CAYO DE PALMA,CP
70,SUCRE,70233,EL ROBLE,70233003,CORNETA,CP
70,SUCRE,70233,EL ROBLE,70233004,EL SITIO,CP
70,SUCRE,70233,EL ROBLE,70233005,LAS TABLITAS,CP
70,SUCRE,70233,EL ROBLE,70233006,PALMITAL,CP
70,SUCRE,70233,EL ROBLE,70233007,PATILLAL,CP
70,SUCRE,70233,EL ROBLE,70233008,GRILLO ALEGRE,CP
70,SUCRE,70233,EL ROBLE,70233009,RANCHO DE LA CRUZ,CP
70,SUCRE,70233,EL ROBLE,70233010,SAN FRANCISCO,CP
70,SUCRE,70233,EL ROBLE,70233011,SANTA ROSA,CP
70,SUCRE,70233,EL ROBLE,70233012,TIERRA SANTA,CP
70,SUCRE,70233,EL ROBLE,70233013,VILLAVICENCIO,CP
70,SUCRE,70235,GALERAS,70235000,GALERAS,CM
70,SUCRE,70235,GALERAS,70235001,BARAYA,CP
70,SUCRE,70235,GALERAS,70235002,SAN ANDRÉS DE PALOMO,CP
70,SUCRE,70235,GALERAS,70235003,SAN JOSÉ DE RIVERA,CP
70,SUCRE,70235,GALERAS,70235007,PUEBLO NUEVO II,CP
70,SUCRE,70235,GALERAS,70235009,PUEBLO NUEVO I (JUNÍN),CP
70,SUCRE,70235,GALERAS,70235011,PUERTO FRANCO,CP
70,SUCRE,70235,GALERAS,70235012,ABRE EL OJO,CP
70,SUCRE,70235,GALERAS,70235013,MATA DE GUASIMO,CP
70,SUCRE,70265,GUARANDA,70265000,GUARANDA,CM
70,SUCRE,70265,GUARANDA,70265002,DIAZGRANADOS,CP
70,SUCRE,70265,GUARANDA,70265004,GAVALDA,CP
70,SUCRE,70265,GUARANDA,70265006,LA CONCORDIA,CP
70,SUCRE,70265,GUARANDA,70265008,PALMARITICO,CP
70,SUCRE,70265,GUARANDA,70265009,PUERTO LÓPEZ,CP
70,SUCRE,70265,GUARANDA,70265010,LA CEJA,CP
70,SUCRE,70265,GUARANDA,70265011,LAS PAVAS,CP
70,SUCRE,70265,GUARANDA,70265012,NUEVA ESPERANZA,CP
70,SUCRE,70265,GUARANDA,70265013,TIERRA SANTA,CP
70,SUCRE,70400,LA UNIÓN,70400000,LA UNIÓN,CM
70,SUCRE,70400,LA UNIÓN,70400001,CAYO DELGADO,CP
70,SUCRE,70400,LA UNIÓN,70400002,PAJARITO,CP
70,SUCRE,70400,LA UNIÓN,70400004,LAS PALMITAS,CP
70,SUCRE,70400,LA UNIÓN,70400005,SABANETA,CP
70,SUCRE,70400,LA UNIÓN,70400006,BOCA NEGRA,CP
70,SUCRE,70400,LA UNIÓN,70400007,CONGUITOS,CP
70,SUCRE,70400,LA UNIÓN,70400008,LA GLORIA,CP
70,SUCRE,70400,LA UNIÓN,70400009,VILLA FÁTIMA,CP
70,SUCRE,70400,LA UNIÓN,70400010,LA CONCEPCION,CP
70,SUCRE,70418,LOS PALMITOS,70418000,LOS PALMITOS,CM
70,SUCRE,70418,LOS PALMITOS,70418001,EL COLEY,CP
70,SUCRE,70418,LOS PALMITOS,70418002,EL PIÑAL,CP
70,SUCRE,70418,LOS PALMITOS,70418003,PALMAS DE VINO,CP
70,SUCRE,70418,LOS PALMITOS,70418004,SABANAS DE BELTRÁN,CP
70,SUCRE,70418,LOS PALMITOS,70418005,SABANAS DE PEDRO,CP
70,SUCRE,70418,LOS PALMITOS,70418006,EL HATILLO,CP
70,SUCRE,70418,LOS PALMITOS,70418010,CHARCON,CP
70,SUCRE,70418,LOS PALMITOS,70418011,PALMITO - LOS PALMITOS,CP
70,SUCRE,70418,LOS PALMITOS,70418012,SAN JAIME,CP
70,SUCRE,70429,MAJAGUAL,70429000,MAJAGUAL,CM
70,SUCRE,70429,MAJAGUAL,70429002,EL NARANJO,CP
70,SUCRE,70429,MAJAGUAL,70429005,LA SIERPE,CP
70,SUCRE,70429,MAJAGUAL,70429006,LAS PALMITAS,CP
70,SUCRE,70429,MAJAGUAL,70429008,PIZA,CP
70,SUCRE,70429,MAJAGUAL,70429009,PUEBLONUEVO,CP
70,SUCRE,70429,MAJAGUAL,70429010,SAN ROQUE,CP
70,SUCRE,70429,MAJAGUAL,70429011,SANTANDER,CP
70,SUCRE,70429,MAJAGUAL,70429013,ZAPATA,CP
70,SUCRE,70429,MAJAGUAL,70429014,SINCELEJITO,CP
70,SUCRE,70429,MAJAGUAL,70429016,LEÓN BLANCO,CP
70,SUCRE,70429,MAJAGUAL,70429023,LOS PATOS,CP
70,SUCRE,70429,MAJAGUAL,70429025,PALMARITO,CP
70,SUCRE,70429,MAJAGUAL,70429026,BOCA DE LAS MUJERES,CP
70,SUCRE,70429,MAJAGUAL,70429027,EL INDIO NUEVO,CP
70,SUCRE,70429,MAJAGUAL,70429028,EL PALOMAR,CP
70,SUCRE,70429,MAJAGUAL,70429029,RIO FRIO,CP
70,SUCRE,70429,MAJAGUAL,70429031,CORONCORO,CP
70,SUCRE,70473,MORROA,70473000,MORROA,CM
70,SUCRE,70473,MORROA,70473002,EL RINCÓN,CP
70,SUCRE,70473,MORROA,70473003,EL YESO,CP
70,SUCRE,70473,MORROA,70473004,LAS FLORES,CP
70,SUCRE,70473,MORROA,70473005,SABANETA,CP
70,SUCRE,70473,MORROA,70473006,TUMBATORO,CP
70,SUCRE,70473,MORROA,70473009,SABANAS DE CALI,CP
