codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,codigo_centro_poblado,nombre_centro_poblado,tipo
20,CESAR,20001,VALLEDUPAR,20001000,VALLEDUPAR,CM
20,CESAR,20001,VALLEDUPAR,20001001,AGUAS BLANCAS,CP
20,CESAR,20001,VALLEDUPAR,20001002,ATANQUEZ,CP
20,CESAR,20001,VALLEDUPAR,20001003,BADILLO,CP
20,CESAR,20001,VALLEDUPAR,20001005,CARACOLÍ,CP
20,CESAR,20001,VALLEDUPAR,20001006,CHEMESQUEMENA,CP
20,CESAR,20001,VALLEDUPAR,20001007,GUATAPURÍ,CP
20,CESAR,20001,VALLEDUPAR,20001009,GUACOCHE,CP
20,CESAR,20001,VALLEDUPAR,20001010,GUAYMARAL,CP
20,CESAR,20001,VALLEDUPAR,20001011,LA MINA,CP
20,CESAR,20001,VALLEDUPAR,20001012,LOS VENADOS,CP
20,CESAR,20001,VALLEDUPAR,20001013,MARIANGOLA,CP
20,CESAR,20001,VALLEDUPAR,20001014,PATILLAL,CP
20,CESAR,20001,VALLEDUPAR,20001018,VALENCIA DE JESUS,CP
20,CESAR,20001,VALLEDUPAR,20001019,CAMPERUCHO,CP
20,CESAR,20001,VALLEDUPAR,20001022,GUACOCHITO,CP
20,CESAR,20001,VALLEDUPAR,20001024,LOS CALABAZOS,CP
20,CESAR,20001,VALLEDUPAR,20001025,LOS CORAZONES,CP
20,CESAR,20001,VALLEDUPAR,20001026,LOS HATICOS I,CP
20,CESAR,20001,VALLEDUPAR,20001027,LA MESA - AZUCAR BUENA,CP
20,CESAR,20001,VALLEDUPAR,20001028,RAICES,CP
20,CESAR,20001,VALLEDUPAR,20001030,RANCHO DE GOYA,CP
20,CESAR,20001,VALLEDUPAR,20001031,RÍO SECO,CP
20,CESAR,20001,VALLEDUPAR,20001032,LA VEGA ARRIBA,CP
20,CESAR,20001,VALLEDUPAR,20001034,VILLA GERMANIA,CP
20,CESAR,20001,VALLEDUPAR,20001036,EL JABO,CP
20,CESAR,20001,VALLEDUPAR,20001037,EL ALTO DE LA VUELTA,CP
20,CESAR,20001,VALLEDUPAR,20001038,HATICOS II,CP
20,CESAR,20001,VALLEDUPAR,20001039,EL PERRO,CP
